country,t,estimate_main,Gini_main,estimate_T,Gini_T,estimate_CES,Gini_CES,estimate_PTM,Gini_PTM,estimate_Poor,Gini_Poor,estimate_Ladder,Gini_Ladder,estimate_PPML,Gini_PPML,estimate_Consumption,Gini_Consumption
GNQ,1998-2000,.88419998,42.639999,.89579999,42.830002,.8405,41.919998,.90859997,43.029999,1.0615,45.240002,.67320001,38.810001,.34419999,29.950001,.4842,34.32
GNQ,2001-2003,.71520001,39.650002,.63980001,38.099998,.91820002,43.18,.86199999,42.279999,1.0393,44.939999,.46810001,33.869999,.3418,29.860001,.59490001,37.099998
GNQ,2004-2006,.37040001,30.860001,.27860001,27.41,.41710001,32.369999,.47,33.93,.1494,20.809999,.32480001,29.23,.35569999,30.35,.68580002,39.060001
GNQ,2007-2009,.2227,24.879999,.2561,26.440001,.1698,22.059999,.3387,29.75,.2146,24.48,.045000002,11.79,.28650001,27.73,.63599998,38.02
GNQ,2010-2012,.31200001,28.75,.3141,28.83,.3141,28.83,.37819999,31.120001,.60820001,37.400002,.073799998,14.96,.32980001,29.42,.59329998,37.060001
GNQ,2013-2015,.45809999,33.59,.42559999,32.630001,.4052,32,.52749997,35.459999,.56349999,36.360001,.3689,30.809999,.36610001,30.709999,.46799999,33.869999
GNQ,2016-2018,.4666,33.830002,.48269999,34.279999,.417,32.369999,.56150001,36.310001,.45699999,33.560001,.3529,30.25,.42719999,32.68,.46160001,33.689999
GRC,2004-2006,.59939998,37.200001,.4957,34.630001,.58109999,36.779999,.57870001,36.720001,.55980003,36.27,.67940003,38.939999,.4508,33.380001,.4235,32.57
GRC,2007-2009,.59969997,37.209999,.54110003,35.810001,.58569998,36.889999,.6063,37.360001,.59399998,37.080002,.67299998,38.799999,.414,32.27,.4438,33.169998
GRC,2010-2012,.62190002,37.709999,.57270002,36.580002,.59469998,37.09,.62,37.669998,.56160003,36.310001,.69080001,39.169998,.43259999,32.84,.40490001,31.99
GRC,2013-2015,.65009999,38.32,.60399997,37.310001,.62919998,37.869999,.6577,38.48,.51889998,35.240002,.67769998,38.900002,.43880001,33.029999,.42680001,32.669998
GRC,2016-2018,.66320002,38.599998,.61659998,37.59,.63380003,37.970001,.66030002,38.540001,.55260003,36.09,.72750002,39.889999,.41659999,32.349998,.45320001,33.450001
GTM,1995-1997,1.5937999,51,1.7759,52.509998,1.6267,51.290001,1.5607001,50.709999,1.6741,51.689999,1.7347,52.18,.82770002,41.709999,.99449998,44.32
GTM,1998-2000,2.1863,55.349998,2.5755,57.52,2.2279,55.599998,2.0776999,54.66,2.0550001,54.509998,2.1982999,55.419998,.89649999,42.84,.9738,44.02
GTM,2001-2003,1.6477,51.470001,1.8398,53,1.727,52.119999,1.5917,50.98,1.3256,48.41,1.6995,51.900002,.81269997,41.450001,.89450002,42.810001
GTM,2004-2006,1.6831,51.759998,1.9383,53.709999,1.6719,51.669998,1.6256,51.279999,1.5673,50.77,1.7059,51.950001,.92379999,43.27,.8351,41.830002
GTM,2007-2009,1.5968,51.029999,1.2618001,47.709999,1.5422,50.540001,1.5443,50.560001,1.4664,49.830002,1.5266,50.400002,1.0087,44.52,.8222,41.610001
GTM,2010-2012,1.6957,51.869999,1.4141999,49.32,1.6736,51.68,1.6497999,51.48,1.6186,51.220001,1.6495,51.48,.99360001,44.299999,.81940001,41.560001
GTM,2013-2015,1.6076,51.119999,1.3472,48.630001,1.566,50.759998,1.6138,51.18,1.5907,50.970001,1.6253,51.279999,1.0249,44.740002,.84219998,41.950001
GTM,2016-2018,1.5634,50.73,1.2984,48.110001,1.5102,50.25,1.6219,51.25,1.6272,51.290001,1.5337,50.459999,.97829998,44.080002,.8161,41.509998
GUY,1995-1997,.33309999,29.540001,.53640002,35.689999,.1736,22.280001,.015699999,7.04,.32859999,29.379999,.71829998,39.709999,.4689,33.900002,.70749998,39.5
GUY,1998-2000,.40560001,32.009998,.63919997,38.09,.25760001,26.5,.38330001,31.290001,.61750001,37.610001,.57669997,36.669998,.4603,33.650002,.60159999,37.25
GUY,2001-2003,.5564,36.189999,.8035,41.290001,.43799999,33,.6189,37.639999,.3319,29.5,.4228,32.540001,.46630001,33.82,.6638,38.610001
GUY,2004-2006,.57910001,36.73,.662,38.57,.46759999,33.860001,.5995,37.209999,.52810001,35.48,.4693,33.91,.5751,36.639999,.54839998,35.990002
GUY,2007-2009,.8107,41.41,.6742,38.830002,.69480002,39.25,.83279997,41.799999,.6735,38.810001,.93900001,43.5,.62959999,37.880001,.4761,34.099998
GUY,2010-2012,.78170002,40.900002,.7101,39.549999,.60759997,37.389999,.8409,41.93,1.0197999,44.669998,.79960001,41.220001,.66119999,38.560001,.4585,33.599998
GUY,2013-2015,.75370002,40.389999,.70039999,39.360001,.64099997,38.130001,.74229997,40.169998,.67409998,38.830002,.89209998,42.77,.61979997,37.66,.43810001,33.009998
GUY,2016-2018,.85110003,42.099998,.82459998,41.650002,.67629999,38.869999,.87080002,42.43,.85829997,42.220001,1.0721999,45.389999,.68199998,38.990002,.53200001,35.580002
HKG,1995-1997,.50510001,34.880001,.3725,30.93,.67470002,38.84,.495,34.610001,.50520003,34.889999,.30770001,28.58,.43610001,32.950001,.80369997,41.290001
HKG,1998-2000,.5499,36.029999,.3759,31.040001,.68769997,39.099998,.50319999,34.830002,.77539998,40.790001,.30469999,28.459999,.47400001,34.040001,.7823,40.91
HKG,2001-2003,.51109999,35.040001,.33559999,29.629999,.6929,39.209999,.57529998,36.639999,.55540001,36.16,.32170001,29.120001,.43599999,32.939999,.70950001,39.540001
HKG,2004-2006,.45070001,33.380001,.2543,26.360001,.60399997,37.310001,.42179999,32.509998,.38150001,31.23,.1232,19.049999,.52920002,35.509998,.57090002,36.540001
HKG,2007-2009,.46059999,33.66,.4822,34.27,.5891,36.970001,.4163,32.349998,.32319999,29.17,.1996,23.709999,.49200001,34.529999,.54729998,35.959999
HKG,2010-2012,.58209997,36.799999,.55930001,36.259998,.73629999,40.060001,.54890001,36,.56199998,36.32,.3644,30.65,.4869,34.389999,.46419999,33.759998
HKG,2013-2015,.52310002,35.349998,.50050002,34.759998,.6911,39.169998,.48100001,34.23,.58469999,36.860001,.17749999,22.5,.47780001,34.139999,.5499,36.029999
HKG,2016-2018,.63200003,37.93,.58780003,36.93,.81879997,41.549999,.57920003,36.73,.3653,30.68,.2307,25.27,.4601,33.650002,.5478,35.970001
HND,1995-1997,1.9554,53.830002,2.3794,56.48,2.0494001,54.470001,2.0732,54.630001,2.0989001,54.799999,2.1635001,55.209999,.95109999,43.68,1.1199,46.009998
HND,1998-2000,2.0922999,54.75,2.4452,56.84,2.1447001,55.09,2.2584,55.779999,1.8365,52.970001,2.1659999,55.220001,1.0411,44.970001,1.26,47.68
HND,2001-2003,2.056,54.52,2.3942001,56.560001,2.0329001,54.360001,2.2818999,55.919998,1.9945,54.099998,2.2144001,55.52,1.1271,46.099998,1.1578,46.48
HND,2004-2006,2.1020999,54.82,2.4231999,56.720001,2.0792,54.669998,2.1368001,55.040001,2.1136999,54.889999,2.0051999,54.18,1.0863,45.57,.99860001,44.369999
HND,2007-2009,1.9734,53.959999,1.5496,50.610001,1.9378,53.709999,1.9529001,53.810001,2.0994999,54.799999,1.8437999,53.029999,1.1540999,46.439999,.93959999,43.509998
HND,2010-2012,1.9278001,53.639999,1.6115,51.16,1.8609,53.150002,1.9541,53.82,2.2131,55.509998,1.9389,53.720001,1.2395,47.450001,.78250003,40.91
HND,2013-2015,1.9464999,53.77,1.6633,51.599998,1.8386,52.990002,1.9432,53.75,2.0095,54.200001,1.825,52.880001,1.3512,48.68,.78310001,40.93
HND,2016-2018,1.9362,53.700001,1.6288,51.310001,1.8428,53.02,2.0234001,54.299999,2.0538001,54.5,1.8674999,53.200001,1.2565,47.650002,.89889997,42.880001
